Brand,Model,Product Type,Processor Brand,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Screen Definition,Resolution,Graphics Card Type,Camera Resolution (MP),Type,Bluetooth,Ethernet,HDMI,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
MSI,Modern 14 B11MOU-870,Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200,,512,Windows 11 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,,1 x HDMI (4K @ 60Hz),"1 x USB Type-C (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 2)",802.11 ax Wi-Fi 6 ,1.3,1.81cm,31.9cm,21.9cm,2497
Asus,ZenBook 14 (UX425E-AKI435TS),Laptop,,,,,,,,,,,,,,,,,,,,,,1.17,1.39cm,31.9cm,20.8cm,4699
MSI,Vector GP66 12UE 272,Gaming laptop,,,,,,,,,,,,,,,,,,,,,,2.38,2.59cm,39.7cm,28.4cm,7999
Asus,TUF Dash F15 (2021) (FX516P-CHN013T),Gaming laptop,,,,,,,,,,,,,,,,,,,,,,2,1.99cm,36cm,25.2cm,4199
Asus,VivoBook 15 OLED (K513E-AL13024WS),Laptop,,,,,,,,,,,,,,,,,,,,,,1.8,1.79cm,35.9cm,23.5cm,2699
MSI,GF65 Thin (10UE-266),Gaming laptop,Intel,Core i7 10750H,6,2.6,5.0 GHz,8,DDR4 2666MHz,NVMe PCIe SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3060 Max-Q,HD,144Hz IPS-Level,Bluetooth 5.1,,1x HDMI (4K @ 30Hz),"2 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1)",802.11 ax Wi-Fi 6 ,1.86,2.17cm,35.9cm,25.4cm,5299
,Laptop 15S-FQ2511TU,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2666 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,Intel Iris Xe Graphics,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.7,1.79cm,35.8cm,24.2cm,3029
HP,Envy x360 Convert 13-BD0507TU,2-in-1 Laptops,Intel,Core i7-1165G7,4,2.8,4.7 GHz,8,DDR4-2933 MHz RAM,PCIe NVMe TLC SSD,512,Windows 10 Home,13.3, Full HD ,1920 x 1080,Intel Iris Xe Graphics,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"OLED, multitouch-enabled, UWVA, edge-to-edge glass, micro-edge, Corning® Gorilla® Glass NBT™, 400 nits, 100% DCI-P3",Bluetooth 5.0,,,"1 x USB Type-C (USB4, Thunderbolt 4, 40 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5Gbps signaling rate)",Intel Wi-Fi 6 AX201 (2x2),1.33,1.64cm,30.65cm,19.46cm,5159
Lenovo,81W000UVMJ ,Laptop,AMD,,,,,4,SO-DIMM ,M.2 2242 PCIe,256,Windows 10 Home 64,14,,1366x768,Integrated AMD Radeon Graphics,,,Bluetooth 5.0,,,,,1.6,32.7cm,24.1cm,1.99cm,1549
Asus,ZenBook Duo 14 (UX482E-GHY071TS),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,LPDDR4X,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HD camera with IR function to support Windows Hello,"16:9,IPS-level Panel,Anti-glare display,LED Backlit,400nits,sRGB: 100%,Pantone Validated,Screen-to-body ratio: 93 ％,With stylus support",Bluetooth 5.0,,1 x HDMI 1.4,"2 x USB Type-C (Thunderbolt 4, Display/Power Delivery), 1 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),1.62,1.73cm,32.4cm,22.2cm,5797
Acer,Swift 1 (SF114-34-P9TR),Laptop,Intel,N6000,4,1.1 GHz,,8, LPDDR4X,,256,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics,,,Bluetooth 5.0,,,,,1.30,21.2cm,32.28cm,1.4cm,2199
Acer,Nitro 5 (AN515-57-73H1),Gaming laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4 SDRAM,PCI Express,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1650,HD,,Bluetooth 5.2,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4599
Acer,Nitro 5 (AN515-55-79CU),Gaming laptop,Intel,Core i7-10750H,6,2.6,5.0 GHz,8,DDR4 SDRAM,PCIe NVMe SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1660 Ti,HD,144Hz display with IPS (In-Plane Switching) technology,Bluetooth 5.0,RJ45 Port,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.3,2.39cm,36.34cm,25.5cm,4899
Acer,Nitro 5 (AN515-57-536D),Gaming laptop,Intel,Core i5-11400H,6,2.7,4.5 GHz,8,DDR4 SDRAM,PCI Express,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,HD,,Bluetooth 5.2,1 x Gigabit Ethernet,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4099
Acer,Nitro 5 (AN515-57-76RF),Gaming laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,8,,PCI Express,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,HD,,Bluetooth 5.2,1 x Gigabit Ethernet,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4799
,Aspire 3 (A315-35-P4R5),Laptop,Intel,Pentium Silver N6000,4,1.1,3.3 GHz,4,DDR4 RAM,,256,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics,HD,,Bluetooth 4.0,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",IEEE 802.11ac/a/b/g/n,1.65,1.99cm,34.3cm,24.5cm,1799
Asus,ROG Zephyrus (GA503Q-MHQ077T),Gaming laptop,AMD,5900HS,8,3.0 GHz,4.6 GHz,16 GB,DDR4-3200,NVMe PCIe SSD,512 GB,Windows 10 Home,"15.6""",WQHD,2560 x 1440,GeForce RTX 3060,,,Bluetooth v5.1,1 x RJ-45,1 x HDMI 2.0b,2 x Type-C USB3.2 Gen2; 2 x Type-A USB3.2 Gen2,WiFi 6 (802.11ax),1.90,1.99cm,35.5cm,24.3cm,6999
Acer,Aspire 3 (A315-35-C1E0),Laptop,Intel,Celeron N4500,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe NVMe SSD,256,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics,HD,,Bluetooth 4.0,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",IEEE 802.11ac/a/b/g/n,1.65,1.99cm,34.3cm,24.5cm,1799
HP,Pavilion Laptop 15-EG1031TU,Laptop,Intel,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.7,1.79cm,36.02cm,23.4cm,3559
Asus,A516E-ABQ804TS,Laptop,,,,,,,,,,,,,,,,,,,,,, 1.8,1.99cm,36.02cm,23.49cm,2797
HP,Laptop 14s-fq1043AU,Laptop,AMD,Ryzen 3 5300U,4,2.6,3.8 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 6,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,2599
HP,ENVY x360 Laptop 13-ay1012AU,2-in-1 Laptops,AMD,5800U,,,4.4GHz,16 GB,DDR4-3200 MHz,PCIe NVMe M.2 SSD,512 GB,Windows 11 Home,13.3, Full HD ,1920 x 1080,AMD Radeon Graphics,,,Bluetooth 5.2,,,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A",Realtek Wi-Fi 6 (2x2),1.32,19.46cm,30.65cm,1.64cm,4799
HP,Laptop 15S-EQ1541AU,Laptop,AMD,Ryzen 3 4300U,4,2.7,3.7 GHz,8,DDR4-2666 SDRAM,,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,AMD Radeon Graphics,HP TrueVision HD Camera with integrated dual array digital microphone,"Micro-edge, anti-glare, 220 nits, 45% NTSC",Bluetooth 4.2,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,2599
MSI,Modern 15 (A5M-094),Laptop,AMD,Ryzen 7 5700U,8,1.8,4.3 GHz,8,DDR4-3200,NVMe PCIe Gen3,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,AMD Radeon RX Vega 8,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,,1 x HDMI (4K @ 30Hz),"1 x USB Type-C (3.2 Gen 2), 3 x USB Type-A (3.2 Gen 2)",802.11 ax Wi-Fi 6 ,1.6,1.69cm,35.68cm,23.38cm,3099
MSI,Prestige 14 (A11SB-640),Laptop,Intel,1185G7,,,,16 GB,LPDDR4,NVMe PCIe SSD,512GB,Windows 11 Home,14, Full HD ,1920 x 1080,NVIDIA GeForce MX450, 30fps@720p,IR HD,Bluetooth v5.2,,,2x Type-C (USB / DP / Thunderbolt™) with PD charging; 1x Type-A USB2.0,Killer ax Wi-Fi 6E,1.29,31.9cm,21.9cm,1.59cm,4333
HP,Pavilion 14-DV1007TX,Laptop,Intel,Core i5-1155G7,4,2.5,4.5 GHz,,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14, Full HD ,1920 x 1080,NVIDIA GeForce MX450,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3899
HP,Pavilion Laptop 14-DV1028TU,Laptop,Intel,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3559
Lenovo,IdeaPad 3 (82H80256MJ),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200,M.2 2280 PCIe 3.0x4 NVMe SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,720p with Privacy Shutter,"TN, 250 nits, Anti-glare",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1),1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac (2x2),1.65,1.99cm,35.92cm,23.65cm,2897
HP,Laptop 15S-EQ2070AU,Laptop,AMD,Ryzen 5 5500U,6,2.1,4.0 GHz,8,DDR4-3200,,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,AMD Radeon RX Vega 7,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,2,1.79cm,35.85cm,24.2cm,2699
Acer,Swift 3 (SF314-511-51XN),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,LPDDR4X,PCI Express SSD,512,Windows 11 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HD,"LED, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4, DisplayPort), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11 a/g/n/ac/ax,1.2,1.6cm,32.34cm,21.89cm,3197
Asus,VivoBook Go 14 (E410K-ABV256WS),Laptop,Intel,Celeron N4500,2,1.1,2.8 GHz,8,DDR4,M.2 NVMe PCIe 3.0 SSD,256,Windows 11 Home,14,HD,1366 x 768,Intel UHD Graphics,VGA,"16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 78 ％",Bluetooth 4.1,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.3,1.84cm,32.5cm,21.7cm,1849
MSI,Creator Z16 A11UET 207,Laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,32,DDR4-3200,,1 TB,Windows 10 Pro,16,QHD+,2560 x 1600,NVIDIA GeForce RTX 3060,IR HD Type (30 fps @ 720p),"120Hz DCI-P3 100% typical, Finger Touch panel",Bluetooth 5.2,,,"2 x USB Type-C (USB, DisplayPort, Thunderbolt 4), 2 x USB Type-A (3.2 Gen 2)",Killer ax Wi-Fi 6E,2.2,1.59cm,35.9cm,25.6cm,11999
HP,Laptop 15S-EQ2073AU,Laptop,AMD,Ryzen 5 5500U,6,2.1,4.0 GHz,8,DDR4-3200 MHz RAM,,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,AMD Radeon RX Vega 7,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.69,1.79cm,35.85cm,24.2cm,2699
Lenovo,IdeaPad 3 (81W000RXMJ),Laptop,AMD,Athlon Gold 3150U,2,2.6,3.3 GHz,4,DDR4-2400,SSD M.2 2242 PCIe 3.0x2 NVMe,256,Windows 11 Home,14,HD,1366 x 768,AMD Radeon RX Vega 3,720p with Privacy Shutter,"TN, 220 nits, Anti-glare",Bluetooth 5.0,,1 x HDMI 1.4b,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)", 802.11ac,1.6,1.99cm,32.71cm,24.1cm,1799
Huawei,MateBook 14s,Laptop,Intel,Core i5-11300H,4,3.1,4.4 GHz,8,LPDDR4x Dual Channel,NVMe PCIe SSD,512,Windows 10 Home,14.2,2.5K,2520 x 1680,Intel Iris Xe Graphics G7 80EUs,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,1 x HDMI,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,4999
Asus,Laptop 15 A516 (A516E-AEJ1847WS),Laptop,Intel,Core i3-i3-1115G4,2,3.0,4.1 GHz,4,DDR4 SO-DIMM,M.2 NVMe PCIe 3.0 SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,VGA Web Camera (Fixed type),"250 nits, 16:9 Anti-glare display NTSC: 45% IPS-level Panel",Bluetooth 4.1,,1 x HDMI,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac), 1.8,1.99cm,36.02cm,23.49cm,2277
Asus,ZenBook Flip S13 OLED (UX371E-AHL283TS),Laptop,,,,,,,,,,,,,,,,,,,,,,1.2,1.39cm,30.5cm,21.1cm,5997
HP,Envy x360 13-BD0508TU,2-in-1 Laptops,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2933 MHz RAM,PCIe NVMe TLC SSD,512,Windows 10 Home,13.3, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"OLED, multitouch-enabled, UWVA, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, 400 nits, 100% DCI-P3",Bluetooth 5.0,,,"1 x USB Type-C (40 Gbps signaling rate, USB4, Thunderbolt 4, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps Signaling Rate, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps Signaling Rate)",Intel Wi-Fi 6 AX201 (2x2),1.33,1.64cm,30.65cm,19.46cm,4245
MSI,Pulse GL66 11UCK-624,Gaming laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,8,DDR4-3200,M.2 SSD (NVMe PCIe Gen3),512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,,"144Hz, IPS-Level",Bluetooth 5.2,1 x Gigabit Ethernet,1 x HDMI (4K @ 60Hz),"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11 ax Wi-Fi 6 ,2.25,2.4cm,35.9cm,25.9cm,5599
Lenovo,ThinkBook 14 Gen 2 (20VD003HMJ),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4 3200MHz RAM ,M.2 2242 NVMe TLC SSD ,512,Windows 10 Pro,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,720p HD,"IPS, 250 nits, Anti-glare ",Bluetooth 5.1,1 x Ethernet (RJ-45),1 x HDMI 1.4b,"1 x USB Type-C (Thunderbolt 4, USB4), 1 x USB Type-C (3.1 Gen 2, DP 3.0, DisplayPort 1.4), 2 x USB Type-A (3.0 Gen 1)",Intel Wi-Fi 6 AX201 (2x2),1.4,1.79cm,32.3cm,21.8cm,3599
HP,15s-FQ2514TU,Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,8,DDR4-2666 SDRAM,PCIe NVMe M.2 SSD,512,Windows 10 Home 64,15.6,HD,1366 x 768,Intel UHD Graphics Xe G4 48EUs,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,2699
HP,ENVY x360 Convert 13-ay1013AU,Laptop,AMD,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,13.3, Full HD ,1920 x 1080,AMD Radeon RX Vega 7,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"Multitouch-enabled, IPS, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, 400 nits, 100% sRGB",Bluetooth 5.2,,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 1 x USB Type-A ( SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi 6 (2x2),1.3,1.64cm,30.65cm,19.46cm,3999
HP,Laptop 15s-du3023TX,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2666 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce MX350,,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,Integrated 10/100/1000 GbE LAN,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,2.53,1.99cm,35.85cm,24.2cm,3299
HP,ProBook 440 G8,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200 SDRAM,PCIe NVMe M.2 SSD,256,Windows 10 Pro 64,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,720p HD camera,"IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,Ethernet (RJ-45) port,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 10Gbps signaling rate, USB Power Delivery, DisplayPort), 3 x USB Type-A (SuperSpeed USB 5Gbps signaling rate) (1 charging, 1 power)",Intel AX201 Wi-Fi 6 (2x2),1.38,1.99cm,32.19cm,21.39cm,3397
Lenovo,IdeaPad 1 (81VT003RMJ),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 2400MHz,M.2 2242 PCIe 2.0x4 NVMe SSD,256,Windows 10 Home,11.6,HD,1366 x 768,Intel UHD Graphics 600,"0.3 MP, Fixed Focus","Anti-glare, 250 Nits, 45% NTSC",Bluetooth 4.2,,1 x HDMI 1.4,2 x USB Type-A (3.2 Gen 1), 802.11ac (1x1) Wi-Fi,1.2,1.79cm,28.8cm,20cm,1497
HP,Victus 16-E0120AX,Gaming laptop,AMD,Ryzen 7 5800H,8,3.2,4.4 GHz,8,DDR4-3200 SO-DIMM,M.2 NVMe PCIe 3.0 SSD ,512,Windows 10 Home,16.1, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050 Ti ,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),2.47,2.35cm,37cm,26cm,4698
HP,Victus 16-E0127AX,Gaming laptop,AMD,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4-3200 SO-DIMM,M.2 NVMe PCIe 3.0 SSD ,512,Windows 10 Home,16.1, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1650,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),2.47,2.35cm,37cm,26cm,4099
Lenovo,Ideapad 3 (81WD00N1MJ),Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,8,DDR4-3200,SSD M.2 2242 PCIe,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,720p with Privacy Shutter,"TN, 250 nits, Anti-glare, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1, Data Transfer Only), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,2207
Asus,M415U-AEB160TS,Laptop,AMD,Ryzen 3 5300,4,2.6,3.8 GHz,4,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 6,VGA,"16:9, IPS-level Panel, Anti-glare display, LED Backlit, 250 nits, NTSC: 45%",Bluetooth 4.2,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.6,1.99cm,32.54cm,21.6cm,2499
HP,Laptop 15s-eq1017au,Laptop,AMD,Athlon Silver 3050U,2,2.3,3.2 GHz,4,DDR4-2400 SDRAM,PCIe NVMe M.2 SSD,256,Windows 10 Home 64,15.6,HD,1366 x 768,AMD Radeon Graphics,HP TrueVision HD Camera with integrated dual array digital microphone,SVA BrightView micro-edge WLED-backlit,Bluetooth 4.2,,1 x HDMI 1.4b,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A", 802.11ac (1x1) Wi-Fi,1.69,1.79cm,35.85cm,24.2cm,1799
